PLAYER_NAME,TEAM,CONTRACT_END_YEAR
Siyanda Dlamini,Stellenbosch FC,2026
Vusi Molefe,Stellenbosch FC,2026
Nokuthula Sithole,Polokwane City,2026
Siyanda Mahlangu,Chippa United,2026
Nomsa Mahlangu,Polokwane City,2026
Thembi Mokoena,Stellenbosch FC,2026
Thabo Sithole,Bloemfontein Celtic,2026
Kagiso Phiri,Bloemfontein Celtic,2026
Thembi Tshabalala,Cape Town City,2026
Mandla Baloyi,Kaizer Chiefs,2026
Tumelo Mokoena,SuperSport United,2026
Thembi Mashaba,Orlando Pirates,2026
Lerato Mabena,Cape Town City,2026
Lindiwe Radebe,Golden Arrows,2026
Sipho Ndlovu,Stellenbosch FC,2026
Lebogang Phiri,SuperSport United,2026
Sibusiso Radebe,Polokwane City,2026
Sipho Khumalo,TS Galaxy,2026
Thabo Sithole,TS Galaxy,2026
Zanele Phiri,TS Galaxy,2026
Ayanda Mabaso,Bloemfontein Celtic,2026
Karabo Mokoena,Royal AM,2026
Lindiwe Mabaso,TS Galaxy,2026
Gugu Tshabalala,TS Galaxy,2026
Mandla Mahlangu,Cape Town City,2026
Gugu Mashaba,Kaizer Chiefs,2026
Thembi Dlamini,Golden Arrows,2026
Vusi Radebe,Moroka Swallows,2026
Lindiwe Zulu,Kaizer Chiefs,2026
Sipho Phiri,Royal AM,2026
Zanele Zulu,Polokwane City,2026
Kagiso Molefe,AmaZulu FC,2026
Sipho Mashaba,Golden Arrows,2026
Sipho Mabaso,Golden Arrows,2026
Nomsa Dlamini,Kaizer Chiefs,2026
Lebogang Mashaba,Stellenbosch FC,2026
Sipho Mabaso,SuperSport United,2026
Thabo Mashaba,Mamelodi Sundowns,2026
Sipho Ngobeni,Kaizer Chiefs,2026
Khanyi Phiri,Stellenbosch FC,2026
Thabo Khumalo,Moroka Swallows,2026
Lerato Sithole,Mamelodi Sundowns,2026
Boitumelo Radebe,Sekhukhune United,2026
Lebogang Mashaba,Royal AM,2026
Sibusiso Ngobeni,AmaZulu FC,2026
Karabo Molefe,Kaizer Chiefs,2026
Nomsa Zulu,Orlando Pirates,2026
Siyanda Radebe,Golden Arrows,2026
Khanyi Tshabalala,Richards Bay FC,2026
Nomsa Hlongwane,Golden Arrows,2026
Mandla Sithole,Polokwane City,2026
Thabo Mashaba,Golden Arrows,2026
Lerato Dlamini,Polokwane City,2026
Lerato Tshabalala,Chippa United,2026
Ayanda Sithole,AmaZulu FC,2026
Karabo Nkosi,Cape Town City,2026
Karabo Mthembu,AmaZulu FC,2026
Nomsa Mthembu,Moroka Swallows,2026
Lindiwe Zulu,Orlando Pirates,2026
Vusi Phiri,Golden Arrows,2026
Tumelo Dlamini,Chippa United,2026
Siyanda Mabaso,TS Galaxy,2026
Lindiwe Mabena,Mamelodi Sundowns,2026
